Hole,including,IntervalStart,IntervalEnd,Over,Ni,Cu,Co,Pt,Pd,Au,Ag,Ni+Cu,NiEq,AuEq,Zone,Easting,Northing,Elevation,Azimuth,Dip,Length
EL-18-17,,70.3,72.15,1.85,0.52,0.51,0.02,0.21,0.32,0.18,1,1.03,1.04,,Central,396220,6271506,1865,208,-58,219
EL-18-18,,7.7,28.8,21.1,0.64,0.7,0.02,0.2,0.31,0.22,3.7,1.34,1.28,,Central,396113,6271473,1885,106,-62.5,535.2
EL-18-18,,68.7,69.45,0.75,2.72,1.36,0.12,0.14,0.22,0.02,5.5,4.08,3.85,,Central,396113,6271473,1885,106,-62.5,535.2
EL-18-19,,92,126.87,34.87,1.97,1.61,0.05,0.77,1.63,0.52,6.7,3.57,3.85,,Discovery,396219,6271505,1863,224,-73,198
EL-18-19,x,118.13,123.87,5.74,7.26,5.11,0.17,2.25,5.95,0.91,16.1,12.37,13.24,,Discovery,396219,6271505,1863,224,-73,198
EL-18-20,,57.4,66.5,9.1,0.47,0.58,0.02,0.28,0.51,0.29,3.7,1.05,1.15,,Discovery,396219,6271505,1863,230.5,-70,198
EL-18-20,,102,132.5,30.5,3.1,1.86,0.08,0.86,1.78,0.74,7.3,4.96,5.33,,Discovery,396219,6271505,1863,230.5,-70,231.3
EL-18-20,x,122.7,131.1,8.4,7.77,3.29,0.21,1.16,2.33,0.79,8.7,11.06,11.34,,Discovery,396219,6271505,1863,230.5,-70,231.3
EL-18-21,,92,119.5,27.5,0.79,0.77,0.03,0.2,0.47,0.2,4.5,1.56,1.54,,Central,396219,6271505,1863,360,-90,230
EL-18-21,x,92,108.5,16.5,1.04,0.93,0.03,0.24,0.44,0.24,5.3,1.97,1.9,,Central,396219,6271505,1863,360,-90,230
EL-18-22,,16,37,21,0.69,0.77,0.03,0.25,0.38,0.26,4.3,1.46,1.42,,Discovery,396111,6271476,1883,92,-70,253
EL-18-22,,62.13,90.85,28.72,0.67,0.57,0.03,0.09,0.2,0.08,2,1.24,1.15,,Discovery,396111,6271476,1883,92,-70,253
EL-18-22,x,80.5,90.85,10.35,1.07,0.91,0.04,0.09,0.25,0.08,2.2,1.98,1.78,,Discovery,396111,6271476,1883,92,-70,253
EL-18-22,x,85,86.5,1.5,4.18,2.51,0.16,0.22,0.53,0.11,5.6,6.69,6.15,,Discovery,396111,6271476,1883,92,-70,253
EL-18-22,,103.7,115.1,11.4,0.56,0.44,0.02,0.13,0.34,0.1,2.9,1,1.03,,Discovery,396111,6271476,1883,92,-70,253
EL-18-22,,145,157.5,12.5,4.26,2.71,0.11,1.42,3.17,1.1,9.8,6.97,7.73,,Discovery,396111,6271476,1883,92,-70,253
EL-18-22,x,145.95,150.4,4.45,7.06,4.7,0.17,2.46,6.3,1.42,14.4,11.77,13.18,,Discovery,396111,6271476,1883,92,-70,253
EL-18-23,,70.75,77.3,6.55,6.82,3.16,0.18,0.66,0.8,0.48,9,9.99,9.48,,Discovery,396219.192,6271505.424,1862.025,250,-79,469
EL-18-23,x,71.73,77.3,5.57,7.6,3.36,0.2,0.67,0.81,0.47,9,10.97,10.41,,Discovery,396219.192,6271505.424,1862.025,250,-79,469
EL-18-23,,77.4,80.2,2.8,0.69,0.43,0.02,0.07,0.11,0.11,1.8,1.12,1.05,,Discovery,396219.192,6271505.424,1862.025,250,-79,469
EL-18-23,,125.82,150.32,24.5,0.52,0.62,0.03,0.25,0.66,0.25,3.6,1.14,1.28,,Discovery,396219.192,6271505.424,1862.025,250,-79,469
EL-18-24,,147,159,12,0.71,0.9,0.02,0.7,1.32,0.59,8,1.62,2.05,,Discovery,396114.983,6271472.485,1882.152,110,-46,387
EL-18-24,,184.5,195,10.5,3.74,1.6,0.09,0.68,1.7,0.28,3.6,5.34,5.64,,Discovery,396114.983,6271472.485,1882.152,110,-46,387
EL-18-24,x,187.53,192,4.47,8.03,2.87,0.2,1.23,3.13,0.43,4.7,10.9,11.54,,Discovery,396114.983,6271472.485,1882.152,110,-46,387
EL-18-25,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396112.1,6271404.6,1872.9,123,-71,96.2
EL-18-26,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396112.1,6271404.6,1872.9,121,-73,564
EL-18-27,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396098.8,6271538.7,1898.3,227,-72,342
EL-18-28,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396258.3,6270949.6,1505.4,220,-79,978
EL-18-29,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396793.6,6271133.5,1725.9,340,-55,504
EL-18-30,,0,9.19,9.19,0.65,0.38,0.02,0.07,0.06,0.03,4.6,1.03,94,,Northeast,396185.9,6271506.2,1868.4,75,-78,706
EL-18-30,,48.94,63.53,14.59,0.5,0.54,0.02,0.2,0.43,0.22,2.5,1.05,1.1,,Northeast,396185.9,6271506.2,1868.4,75,-78,706
EL-18-30,,73.15,82.83,9.68,3.01,1.61,0.08,0.37,0.42,0.37,4.3,4.62,4.4,,Northeast,396185.9,6271506.2,1868.4,75,-78,706
EL-18-30,x,75.9,79.07,3.17,7.78,3.19,0.23,0.65,0.78,0.48,7.3,10.97,10.58,,Northeast,396185.9,6271506.2,1868.4,75,-78,706
EL-18-33,,37.88,86.86,48.98,1.34,0.89,0.04,0.23,0.34,0.23,3.7,2.23,2.14,,Northeast,396185.8,6271506,1868.3,85,-84,423
EL-18-33,,77.05,81.82,4.77,7.69,2.95,0.2,0.68,0.78,0.42,7.3,10.64,10.27,,Northeast,396185.8,6271506,1868.3,85,-84,423
EL-18-33,,94.49,98.56,4.07,0.24,0.79,0.01,0.67,1,0.53,5.2,1.03,1.34,,Northeast,396185.8,6271506,1868.3,85,-84,423
EL-18-33,,95.9,96.9,1,0.8,2.87,0.01,2.7,4.02,2.06,14.9,3.67,5,,Northeast,396185.8,6271506,1868.3,85,-84,423
EL-18-33,,143.11,161.1,17.99,0.58,0.68,0.03,0.23,0.79,0.2,3.7,1.26,1.4,,Northeast,396185.8,6271506,1868.3,85,-84,423
EL-18-34,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396792.9,6271128.7,1724.9,205,-78,365.5
EL-18-35,,0,0,0,0,0,0,0,0,0,0,0,0,,Exploration,396109,6271405.2,1873.1,210,-79,321.1
EL-18-36,,6.1,26.5,20.4,0.59,0.48,0.02,0.14,0.22,0.13,1,1.07,1.04,,Northwest,396109.9,6271475.6,1882.3,280,-46,117
EL-18-36,x,25.13,25.55,0.42,6.17,1.81,0.21,0.32,0.61,0.14,3.1,7.98,7.97,,Northwest,396109.9,6271475.6,1882.3,280,-46,117
EL-18-37,,61.5,66,4.5,0.53,0.5,0.02,0.15,0.17,0.16,2.8,1.03,0.98,,Northwest,396111.1,6271475.2,1882.2,275,-84,168
EL-18-37,,87,93,6,0.57,0.46,0.02,0.17,0.28,0.15,3.3,1.03,1.05,,Northwest,396111.1,6271475.2,1882.2,275,-84,168
EL-18-38,,0,18.38,18.38,0.89,0.65,0.03,0.2,0.26,0.14,2.7,1.54,1.47,,Central,396182.7,6271508.2,1868.1,315,-45,206
EL-18-38,x,16.22,17.17,0.95,6.89,3.58,0.2,0.87,0.92,0.31,5,10.47,9.84,,Central,396182.7,6271508.2,1868.1,315,-45,206
